Hold .,Hold t,Hold i,Hold e,Hold Shift,Hold 5,Hold Shift,Hold Caps,Hold r,Hold o,Hold a,Hold n,Hold l,Hold Enter,DD ..t,DD t.i,DD i.e,DD e.Shift,DD Shift.5,DD 5.Shift,DD Shift.Caps,DD Caps.r,DD r.o,DD o.a,DD a.n,DD n.l,DD l.Enter,UD ..t,UD t.i,UD i.e,UD e.Shift,UD Shift.5,UD 5.Shift,UD Shift.Caps,UD Caps.r,UD r.o,UD o.a,UD a.n,UD n.l,UD l.Enter,Pressure .,Pressure t,Pressure i,Pressure e,Pressure Shift,Pressure 5,Pressure Shift,Pressure Caps,Pressure r,Pressure o,Pressure a,Pressure n,Pressure l,Pressure Enter,Size .,Size t,Size i,Size e,Size Shift,Size 5,Size Shift,Size Caps,Size r,Size o,Size a,Size n,Size l,Size Enter,AvH,AvP,AvA,Subject
162,120,156,99,104,94,99,97,117,128,99,138,119,161,426,355,331,328,2239,347,466,337,592,295,404,291,6198,264,235,175,229,2135,253,367,240,475,167,305,153,6079,0.120000005,0.556800008,0.83040005,0.235200018,0.139200002,0.096000001,0.302400023,0.105600007,0.13440001,0.163200006,0.18720001,0.096000001,0.153600007,0.739200056,0.258064508,0.387096763,0.483870953,0.419354826,0.258064508,0.258064508,0.419354826,0.225806445,0.322580636,0.354838699,0.354838699,0.193548381,0.322580636,0.354838699,120.9285714,0.275657157,0.329493078,1
153,100,157,101,91,106,104,95,100,147,99,110,132,152,412,358,370,459,1673,294,442,543,424,326,473,265,1508,259,258,213,358,1582,188,338,448,324,179,374,155,1376,0.37440002,0.864000022,0.302400023,0.69600004,0.18720001,0.105600007,0.820800066,0.379200011,0.120000005,0.686400056,0.148800001,0.096000001,0.124800004,0.624000013,0.258064508,0.387096763,0.483870953,0.419354826,0.322580636,0.258064508,0.645161271,0.193548381,0.258064508,0.483870953,0.290322572,0.193548381,0.290322572,0.322580636,117.6428571,0.394971448,0.343317962,1
156,107,149,106,108,105,96,94,92,138,90,133,119,100,319,355,286,342,804,318,484,368,419,272,365,289,501,163,248,137,236,696,213,388,274,327,134,275,156,382,0.345600009,0.849600017,0.302400023,0.18720001,0.172800004,0.100800008,0.225600004,0.100800008,0.115200005,0.53760004,0.532800019,0.096000001,0.13440001,0.254400015,0.290322572,0.419354826,0.516129017,0.354838699,0.354838699,0.258064508,0.419354826,0.258064508,0.225806445,0.354838699,0.322580636,0.258064508,0.258064508,0.387096763,113.7857143,0.282514298,0.334101373,1
173,91,135,91,79,103,106,95,94,143,88,129,119,100,403,363,301,375,1166,338,1833,401,359,1085,279,318,576,230,272,166,284,1087,235,1727,306,265,942,191,189,457,0.369600028,0.748800039,0.211200014,0.158400014,0.168000013,0.081600003,0.931200027,0.105600007,0.096000001,0.302400023,0.148800001,0.100800008,0.148800001,0.254400015,0.322580636,0.45161289,0.290322572,0.322580636,0.387096763,0.258064508,0.548387051,0.258064508,0.354838699,0.483870953,0.290322572,0.322580636,0.258064508,0.45161289,110.4285714,0.273257157,0.357142844,1
203,95,149,85,88,85,96,84,111,126,92,144,126,107,332,364,298,327,609,293,415,520,412,436,430,303,604,129,269,149,242,521,208,319,436,301,310,338,159,478,0.115200005,0.820800066,0.705600023,0.868800044,0.201600015,0.100800008,0.302400023,0.115200005,0.129600003,0.18720001,0.163200006,0.096000001,0.163200006,0.792000055,0.322580636,0.354838699,0.516129017,0.419354826,0.354838699,0.354838699,0.419354826,0.258064508,0.322580636,0.354838699,0.354838699,0.258064508,0.354838699,0.548387051,113.6428571,0.340114305,0.370967729,1
137,101,156,91,55,74,116,97,99,157,106,138,149,81,374,366,325,515,453,294,371,395,367,372,318,558,599,237,265,169,424,398,220,255,298,268,215,212,420,450,0.110400006,0.273600012,0.302400023,0.734400034,0.201600015,0.057600003,0.302400023,0.417600006,0.110400006,0.72480005,0.302400023,0.129600003,0.144000009,0.763200045,0.322580636,0.45161289,0.419354826,0.419354826,0.45161289,0.225806445,0.677419305,0.322580636,0.258064508,0.516129017,0.419354826,0.322580636,0.258064508,0.516129017,111.2142857,0.326742876,0.398617498,1
176,111,164,101,68,99,80,87,100,147,104,134,125,81,348,344,319,349,687,341,508,442,354,299,303,283,516,172,233,155,248,619,242,428,355,254,152,199,149,391,0.105600007,0.840000033,0.806400061,0.945600033,0.547200024,0.072000004,0.230400011,0.096000001,0.326400012,0.302400023,0.844800055,0.105600007,0.172800004,0.657600045,0.258064508,0.387096763,0.516129017,0.483870953,0.387096763,0.290322572,0.354838699,0.258064508,0.322580636,0.516129017,0.419354826,0.322580636,0.45161289,0.45161289,112.6428571,0.43234288,0.387096763,1
145,119,148,100,97,104,79,97,117,166,100,105,129,102,559,408,326,543,495,322,550,332,416,483,299,266,498,414,289,178,443,398,218,471,235,299,317,199,161,369,0.676800013,0.652800024,0.302400023,0.158400014,0.158400014,0.086400002,0.302400023,0.081600003,0.100800008,0.672000051,0.69600004,0.091200002,0.45600003,0.302400023,0.387096763,0.45161289,0.483870953,0.322580636,0.322580636,0.258064508,0.548387051,0.161290318,0.193548381,0.516129017,0.322580636,0.225806445,0.290322572,0.548387051,114.8571429,0.338400019,0.35944699,1
145,102,149,134,61,92,114,109,110,161,100,155,140,91,347,426,276,365,451,324,1962,383,396,287,352,293,528,202,324,127,231,390,232,1848,274,286,126,252,138,388,0.763200045,0.206400007,0.302400023,0.168000013,0.153600007,0.067200005,0.931200027,0.115200005,0.086400002,0.177600011,0.527999997,0.110400006,0.489600033,0.302400023,0.483870953,0.419354826,0.45161289,0.290322572,0.322580636,0.225806445,0.516129017,0.225806445,0.193548381,0.322580636,0.322580636,0.290322572,0.290322572,0.483870953,118.7857143,0.314400015,0.34562211,1
118,120,158,92,86,120,97,116,101,130,115,127,141,62,360,349,319,353,449,310,356,397,476,363,271,276,584,242,229,161,261,363,190,259,281,375,233,156,149,443,0.422400028,0.230400011,0.24000001,0.705600023,0.398400009,0.100800008,0.96480006,0.105600007,0.115200005,0.494400024,0.436800033,0.105600007,0.13440001,0.302400023,0.290322572,0.387096763,0.354838699,0.354838699,0.290322572,0.258064508,0.548387051,0.290322572,0.322580636,0.387096763,0.322580636,0.225806445,0.258064508,0.483870953,113.0714286,0.339771447,0.341013813,1
153,86,174,89,111,82,89,90,91,156,119,153,152,79,344,385,320,315,991,300,380,350,377,297,316,307,807,191,299,146,226,880,218,291,260,286,141,197,154,655,0.110400006,0.715200007,0.302400023,0.614400029,0.148800001,0.110400006,0.302400023,0.100800008,0.115200005,0.196800008,0.144000009,0.148800001,0.64320004,0.302400023,0.258064508,0.419354826,0.516129017,0.419354826,0.290322572,0.290322572,0.483870953,0.225806445,0.322580636,0.387096763,0.322580636,0.354838699,0.290322572,0.516129017,116,0.282514299,0.364055289,1
141,96,166,91,89,101,98,97,113,163,117,137,131,91,991,352,299,338,1284,303,536,343,375,341,328,301,565,850,256,133,247,1195,202,438,246,262,178,211,164,434,0.129600003,0.124800004,0.628800035,0.168000013,0.158400014,0.096000001,0.302400023,0.120000005,0.110400006,0.220800012,0.13440001,0.124800004,0.518400013,0.849600017,0.322580636,0.225806445,0.483870953,0.322580636,0.354838699,0.258064508,0.516129017,0.322580636,0.290322572,0.387096763,0.225806445,0.290322572,0.354838699,0.580645144,116.5,0.263314297,0.352534552,1
137,84,140,102,97,92,139,113,102,145,109,127,128,112,604,446,431,510,430,295,495,568,363,302,476,310,543,467,362,291,408,333,203,356,455,261,157,367,183,415,0.936000049,0.705600023,0.302400023,0.230400011,0.177600011,0.100800008,0.302400023,0.504000008,0.129600003,0.883200049,0.465600014,0.115200005,0.163200006,0.302400023,0.612903237,0.354838699,0.45161289,0.483870953,0.322580636,0.258064508,0.548387051,0.322580636,0.354838699,0.483870953,0.387096763,0.258064508,0.387096763,0.516129017,116.2142857,0.379885733,0.410138237,1
161,85,156,84,89,90,135,89,119,172,100,146,125,90,560,456,360,330,926,287,651,389,478,328,380,370,579,399,371,204,246,837,197,516,300,359,156,280,224,454,0.364800006,0.811200023,0.811200023,0.182400003,0.465600014,0.115200005,0.26880002,0.144000009,0.110400006,0.177600011,0.139200002,0.105600007,0.124800004,0.302400023,0.258064508,0.419354826,0.516129017,0.419354826,0.45161289,0.258064508,0.387096763,0.322580636,0.225806445,0.387096763,0.322580636,0.258064508,0.290322572,0.45161289,117.2142857,0.294514297,0.354838699,1
150,104,150,93,90,97,95,87,93,147,98,148,118,94,390,410,303,297,580,305,572,365,403,293,354,307,577,240,306,153,204,490,208,477,278,310,146,256,159,459,0.120000005,0.201600015,0.225600004,0.907200038,0.172800004,0.091200002,0.254400015,0.105600007,0.129600003,0.585600019,0.595200002,0.096000001,0.163200006,0.302400023,0.258064508,0.354838699,0.45161289,0.516129017,0.354838699,0.322580636,0.387096763,0.290322572,0.290322572,0.419354826,0.290322572,0.225806445,0.290322572,0.483870953,111.7142857,0.282171439,0.352534552,1
154,117,172,81,102,88,109,70,100,167,90,138,117,97,356,447,342,304,871,317,727,296,412,372,422,288,483,202,330,170,223,769,229,618,226,312,205,332,150,366,0.729600012,0.72480005,0.988800049,0.628800035,0.177600011,0.115200005,0.302400023,0.129600003,0.091200002,0.547200024,0.144000009,0.115200005,0.144000009,0.614400029,0.387096763,0.354838699,0.580645144,0.387096763,0.387096763,0.258064508,0.645161271,0.322580636,0.225806445,0.419354826,0.354838699,0.290322572,0.290322572,0.45161289,114.4285714,0.389485733,0.382488468,1
148,124,138,73,97,102,97,92,102,185,111,135,135,87,333,359,255,307,879,328,689,342,463,333,397,459,887,185,235,117,234,782,226,592,250,361,148,286,324,752,0.115200005,0.748800039,0.931200027,0.278400004,0.177600011,0.110400006,0.196800008,0.110400006,0.105600007,0.748800039,0.177600011,0.427200019,0.129600003,0.302400023,0.258064508,0.354838699,0.612903237,0.516129017,0.354838699,0.290322572,0.419354826,0.290322572,0.354838699,0.516129017,0.354838699,0.322580636,0.225806445,0.483870953,116.1428571,0.325714301,0.38248847,1
